MinTemp,MaxTemp,Rainfall,Humidity9am,Humidity3pm,RainToday,RainTomorrow
5.1,14.3,0.0,65.0,47.0,0,0
1.1,14.5,0.4,99.0,46.0,0,0
19.7,26.2,0.0,48.0,50.0,0,0
16.6,28.0,0.0,50.0,41.0,0,0
14.6,25.3,0.0,64.0,67.0,0,0
15.7,27.3,0.0,60.0,86.0,0,1
9.8,23.9,0.0,53.0,29.0,0,0
18.7,27.6,3.0,78.0,64.0,1,0
23.6,30.1,0.0,53.0,48.0,0,0
8.5,22.9,1.4,62.0,41.0,1,0
8.7,20.9,0.0,95.0,44.0,0,0
16.4,28.0,1.0,39.0,96.0,0,1
12.9,21.7,1.4,77.0,58.0,1,0
12.1,20.9,0.0,72.0,57.0,0,0
13.2,19.8,0.0,57.0,51.0,0,0
10.7,18.0,6.0,93.0,87.0,1,1
26.3,33.6,0.0,65.0,53.0,0,0
11.0,23.1,0.0,68.0,49.0,0,0
9.0,21.5,0.0,49.0,42.0,0,0
13.8,19.2,18.6,75.0,83.0,1,1
24.9,33.2,0.0,66.0,55.0,0,0
14.4,21.1,4.4,74.0,67.0,1,1
20.3,30.0,0.0,54.0,60.0,0,0
18.8,33.7,0.0,63.0,32.0,0,1
4.3,14.3,0.0,84.0,81.0,0,0
4.0,16.0,0.0,69.0,50.0,0,0
14.3,38.2,0.0,11.0,17.0,0,0
16.3,37.2,0.0,23.0,14.0,0,0
8.1,22.4,0.0,89.0,39.0,0,0
0.1,6.6,0.0,79.0,78.0,0,0
12.5,20.0,4.2,76.0,52.0,1,0
6.9,13.7,4.4,99.0,73.0,1,0
14.2,16.4,11.6,94.0,93.0,1,1
15.1,36.6,0.0,44.0,10.0,0,0
13.9,18.0,0.0,88.0,85.0,0,0
11.0,14.9,0.2,68.0,68.0,0,0
12.8,26.4,0.0,61.0,48.0,0,0
17.8,25.1,0.0,93.0,69.0,0,0
9.5,16.7,1.2,58.0,52.0,1,0
4.1,26.1,0.0,26.0,11.0,0,0
7.9,15.5,0.0,57.0,60.0,0,1
10.7,25.2,0.0,36.0,14.0,0,0
14.6,21.0,2.0,75.0,56.0,1,1
15.8,27.9,0.0,54.0,59.0,0,0
21.5,25.4,28.0,95.0,95.0,1,1
22.1,28.8,0.0,70.0,64.0,0,0
6.9,17.5,1.6,92.0,76.0,1,1
3.7,16.2,0.0,78.0,37.0,0,0
6.9,10.7,4.0,97.0,77.0,1,1
5.8,17.7,2.4,86.0,52.0,1,0
5.5,18.7,0.0,49.0,27.0,0,0
22.2,35.4,0.0,25.0,17.0,0,0
8.5,14.3,0.0,42.0,38.0,0,0
